Paper_Id,Recency,Spec_P,n_ref,n_cite,degree,Cite_per_paper,Auth_collab,P_index_auth,H_index_auth,CiteScore,Percentile,Percent_Cited,SNIP,SJR
11416,0.0303030303030303,1,0,1,1,3.5,1.0,4.0,1.0,3.33,93.0,73.0,2.241,1.162
11418,0.0303030303030303,0,0,1,1,0.9807692307692308,47.0,16.8333,2.5,3.33,93.0,73.0,2.241,1.162
11425,0.0303030303030303,0,0,2,2,1.45,11.0,6.666650000000001,2.5,3.33,93.0,73.0,2.241,1.162
11929,0.0303030303030303,1,0,1,1,3.0,6.0,1.0,1.0,0.9,73.0,44.0,0.722,0.427
13219,0.0303030303030303,0,0,3,3,1.9166666666666667,9.0,15.5,3.0,0.41,23.0,25.0,0.472,0.172
14205,0.0303030303030303,1,0,1,1,6.757726144822919,1437.0,690.3525500000001,22.0,1.03,43.0,47.0,0.884,0.412
14210,0.0303030303030303,1,0,2,2,11.578947368421051,60.0,221.0833,9.0,1.03,43.0,47.0,0.884,0.412
14347,0.0303030303030303,0,0,1,1,3.6577580399248304,594.0,296.29923333333335,11.333333333333334,1.4,54.0,50.0,1.488,0.517
14353,0.0303030303030303,1,0,4,4,49.55930568948892,138.0,2671.0972,15.0,1.4,54.0,50.0,1.488,0.517
14798,0.0303030303030303,0,0,1,1,1.2413793103448276,37.0,18.6667,3.0,0.41,23.0,25.0,0.472,0.172
14999,0.0303030303030303,0,0,8,8,11.853658536585366,80.0,685.9833,16.0,1.11,47.0,45.0,0.876,0.244
15004,0.0303030303030303,1,0,1,1,1.0,0.0,1.0,1.0,1.4,54.0,50.0,1.488,0.517
15005,0.0303030303030303,0,0,1,1,7.34375,60.0,78.5167,8.0,1.4,54.0,50.0,1.488,0.517
16955,0.0303030303030303,0,0,1,1,5.8,6.0,18.3333,3.0,1.44,83.0,66.0,1.23,0.613
17006,0.0303030303030303,0,0,3,3,17.35064935064935,51.0,274.25,8.0,3.2,83.0,76.0,1.868,0.472
17008,0.0303030303030303,0,0,3,3,8.744275210084034,181.0,76.120825,5.0,3.2,83.0,76.0,1.868,0.472
17055,0.0303030303030303,0,0,23,23,8.789915966386555,160.0,558.65,17.0,5.24,95.0,87.0,2.359,1.628
18445,0.03125,0,0,2,2,5.476598240469208,372.0,278.2444333333333,11.666666666666666,1.19,54.0,46.0,1.135,0.504
18448,0.03125,1,0,4,4,2.2991391678622666,92.0,33.04165,4.5,1.19,54.0,46.0,1.135,0.504
18449,0.03125,1,0,4,4,6.358695652173913,366.0,547.2111,15.0,1.19,54.0,46.0,1.135,0.504
18674,0.0303030303030303,0,0,2,2,3.905555555555555,28.0,14.08335,3.0,5.24,95.0,87.0,2.359,1.628
18675,0.0303030303030303,0,0,5,5,11.0,2.0,5.5,1.0,5.24,95.0,87.0,2.359,1.628
